総覧ID,総覧抄録ID,遺跡名,遺跡名かな,本内順位,遺跡所在地,所在地2,lon,lat,所在地ふりがな,市町村コード,遺跡番号,北緯（日本測地系）,東経（日本測地系）,北緯（世界測地系）,東経（世界測地系）,調査期間|調査期間,調査期間1,調査期間2,調査面積|調査面積,調査面積2,調査原因
28729,50712,武蔵国府関連遺跡,むさしこくふかんれんいせき,,東京都府中市宮町一丁目地内,01宮町,139.481461,35.67123,とうきょうとふちゅうしみやまちいっちょうめちない,13206,2,354015,1392901,,,20040806-20041105|20050509-20051003,2004,,500|1100,1600,都市計画道路3・4・18号線整備事業
28729,50713,武蔵国府関連遺跡,むさしこくふかんれんいせき,,東京都府中市本町一丁目地内,03本町,139.477997,35.66647,とうきょうとふちゅうしほんまちいっちょうめちない,13206,2,353957,1392844,,,20040921-20041007,2004,,209,209,都市計画道路3・4・22号線整備事業
47646,90777,武蔵国府関連遺跡　パークハイム府中地区・武蔵府中郵便局地区　第33・34次,むさしこくふかんれんいせき,1,東京都府中市寿町1丁目,05寿町,139.478683,35.675373,とうきょうとふちゅうしことぶきちょういっちょうめ,13206,2,,,,,19780201-19790315,1978,,7524,7524,
47647,90778,武蔵国府関連遺跡　コーポ比留間地区　第27次,むさしこくふかんれんいせき,1,東京都府中市宮町1-22,01宮町,139.481415,35.670841,とうきょうとふちゅうしみやまち,13206,2,,,,,19771007-19771011,1977,,207,207,
47647,90779,武蔵国府関連遺跡　村越ビル地区　第28次,むさしこくふかんれんいせき,2,東京都府中市宮町1-3,01宮町,139.479919,35.671631,とうきょうとふちゅうしみやまち,13206,2,,,,,19771011-19771110,1977,,170.9,170.9,
47647,90780,武蔵国府関連遺跡　河辺歯科医院地区　第32次,むさしこくふかんれんいせき,3,東京都府中市寿町1-4,05寿町,139.478561,35.673393,とうきょうとふちゅうしことぶきちょう,13206,2,,,,,19780124-19780221,1978,,141.4,141.4,
47647,90781,武蔵国府関連遺跡　堀江コーポラス地区　第23次,むさしこくふかんれんいせき,4,東京都府中市八幡町3-5,06八幡町,139.490891,35.669128,とうきょうとふちゅうしはちまんちょう,13206,2,,,,,19770830-19770831,1977,,226,226,
47647,90782,武蔵国府関連遺跡　府中セントラルハイツ地区　第21次,むさしこくふかんれんいせき,5,東京都府中市府中町2-8128,04府中町,139.484131,35.67696,とうきょうとふちゅうしふちゅうちょう,13206,2,,,,,19770407-19770802,1977,,1724,1724,
47647,90783,武蔵国府関連遺跡　高安寺檀信徒会館「利生閣」地区　第25次,むさしこくふかんれんいせき,6,東京都府中市片町2-4,08片町,139.473419,35.669476,とうきょうとふちゅうしかたまち,13206,2,,,,,19770901-19771213,1977,,955.5,955.5,
47648,90784,武蔵国府関連遺跡,むさしこくふかんれんいせき,1,東京都府中市府中町1-9,04府中町,139.48114,35.673061,とうきょうとふちゅうしふちゅうちょう,13206,2,354008,1392904,,,19880406-19900324,1988,,2887.7,2887.7,オフィスビル建設/バス折返し場建設
47649,90785,武蔵国府関連遺跡,むさしこくふかんれんいせき,1,東京都府中市宮町,01宮町,139.481567,35.669109,とうきょうとふちゅうしみやまち,13206,2,354008,1392904,,,19860519-19931120,1986,,15057.2,15057.2,府中駅南口第2地区市街地再開発事業
47652,90789,武蔵国府関連遺跡,むさしこくふかんれんいせき,1,東京都府中市府中町1-30,04府中町,139.480087,35.675854,とうきょうとふちゅうしふちゅうちょう,13206,2,354022,1392859,,,19960514-19960629,1996,,152.5,152.5,保健所施設の拡充を図るための増改築工事
47654,90791,武蔵国府関連遺跡,むさしこくふかんれんいせき,1,東京都府中市府清水が丘2-12-1,10清水が丘,139.495544,35.666668,とうきょうとふちゅうししみずがおか,13206,2,353949,1392955,,,19960604-19961122,1996,,846.7,846.7,東京競馬場単身舎宅（寮）建設
47655,90792,武蔵国府関連遺跡,むさしこくふかんれんいせき,1,東京都府中市府中町1-39,04府中町,139.48111,35.676975,とうきょうとふちゅうしふちゅうちょう,13206,2,354025,1392901,,,19970129-19970316,1997,,1438.9,1438.9,東京郵政局府中馬場先郵政宿舎建設
47658,90796,武蔵国府関連遺跡,むさしこくふかんれんいせき,1,東京都府中市片町3-22,08片町,139.469437,35.667587,とうきょうとふちゅうしかたまち,13206,2,353952,1392820,,,19890605-19891216|19901127-19920320|19921014-19921221,1989,,7182,7182,オフィスビル建設
47659,90797,武蔵国府関連遺跡　第451次,むさしこくふかんれんいせき,1,東京都府中市美好町1-18-1,09美好町,139.470093,35.673279,とうきょうとふちゅうしみよしちょう,13206,2,354012,1392824,,,19881220-19890907,1988,,1019.7,1019.7,都営住宅建設
47659,90798,武蔵国府関連遺跡　第418次,むさしこくふかんれんいせき,2,東京都府中市美好町1-31-1,09美好町,139.468872,35.67337,とうきょうとふちゅうしみよしちょう,13206,2,354013,1392819,,,19880519-19880519,1988,,1904.1,1904.1,都営住宅建設
47659,90799,武蔵国府関連遺跡　第409次,むさしこくふかんれんいせき,3,東京都府中市美好町2-15/16,09美好町,139.466446,35.673645,とうきょうとふちゅうしみよしちょう,13206,2,354014,1392810,,,19880310-19880824,1988,,2265.1,2265.1,都営住宅建設
47660,90801,武蔵国府関連遺跡　第369次,むさしこくふかんれんいせき,2,東京都府中市寿町3-4-6,05寿町,139.474701,35.673553,とうきょうとふちゅうしことぶきちょう,13206,2,354013,1392840,,,19870623-19880601,1987,,773.8,773.8,都営住宅建設
47660,90802,武蔵国府関連遺跡　第490次,むさしこくふかんれんいせき,3,東京都府中市美好町1-5-1,09美好町,139.47229,35.673565,とうきょうとふちゅうしみよしちょう,13206,2,354013,1392832,,,19890828-19900925,1989,,1608.6,1608.6,都営住宅建設
47662,90805,武蔵国府関連遺跡,むさしこくふかんれんいせき,1,東京都府中市美好町1-17,09美好町,139.470352,35.672714,とうきょうとふちゅうしみよしちょう,13206,2,354010,1392824,,,19910904-19920302,1991,,1217.5,1217.5,都営住宅建設
47662,90806,武蔵国府関連遺跡,むさしこくふかんれんいせき,2,東京都府中市美好町2-40,09美好町,139.466599,35.676441,とうきょうとふちゅうしみよしちょう,13206,2,354024,1392811,,,19910902-19920413,1991,,1201.6,1201.6,都営住宅建設
47663,90809,武蔵国府関連遺跡　第760次,むさしこくふかんれんいせき,3,東京都府中市美好町2-34,09美好町,139.466064,35.675903,とうきょうとふちゅうしみよしちょう,13206,2,354020,1392810,,,19931026-19940711,1993,,1286.1,1286.1,都営住宅建設
47667,90814,武蔵国府関連遺跡,むさしこくふかんれんいせき,1,東京都府中市日鋼町1-26,11日鋼町,139.467865,35.678078,とうきょうとふちゅうしにっこうちょう,13206,2,354019,1392833,,,19981207-19990331,1998,,3153,3153,府中島忠日鋼町店建設
47669,90817,武蔵国府関連遺跡　第806次,むさしこくふかんれんいせき,2,東京都府中市美好町2-30,09美好町,139.46788,35.675083,とうきょうとふちゅうしみよしちょう,13206,2,354020,1392815,,,19941017-19950327,1994,,1544.2,1544.2,都営住宅建設
47671,90820,武蔵国府関連遺跡　第908次,むさしこくふかんれんいせき,2,東京都府中市美好町2-32ほか,09美好町,139.467041,35.676056,とうきょうとふちゅうしみよしちょう,13206,2,354000,1392815,,,19960731-19980331,1996,,4514.1,4514.1,都営住宅建設
47672,90821,武蔵国府関連遺跡　セゾンド大国地区　第217次,むさしこくふかんれんいせき,1,東京都府中市宮西町5-3-7,02宮西町,139.476181,35.669571,とうきょうとふちゅうし,13206,2,,,,,19830627-19830910,1983,,399.7,399.7,建物新築
47672,90822,武蔵国府関連遺跡　ヤヒコビル地区　第212次,むさしこくふかんれんいせき,2,東京都府中市宮西町5-6-11,02宮西町,139.475403,35.669643,とうきょうとふちゅうし,13206,2,,,,,19830518-19830618,1983,,61.5,61.5,建物新築
47672,90823,武蔵国府関連遺跡　比留間晟悟宅地区　第208次,むさしこくふかんれんいせき,3,東京都府中市宮町1-36-1,01宮町,139.483246,35.670254,とうきょうとふちゅうし,13206,2,,,,,19830421-19830528,1983,,109.7,109.7,建物新築
47672,90824,武蔵国府関連遺跡　府中宮町パークホームズ地区　第195次,むさしこくふかんれんいせき,4,東京都府中市宮町2-1-15,01宮町,139.480026,35.669746,とうきょうとふちゅうし,13206,2,,,,,19821213-19830510,1982,,703.8,703.8,建物新築
47672,90825,武蔵国府関連遺跡　IVY地区　第215次,むさしこくふかんれんいせき,5,東京都府中市若松町1-5-51,13若松町,139.4975892,35.66844507,とうきょうとふちゅうし,13206,2,,,,,19830620-19830801,1983,,50.1,50.1,建物新築
47672,90826,武蔵国府関連遺跡　スカイコート府中地区　第232次,むさしこくふかんれんいせき,6,東京都府中市若松町2-3-4,13若松町,139.498352,35.670654,とうきょうとふちゅうし,13206,2,,,,,19840216-19840218,1984,,416.5,416.5,建物新築
47672,90827,武蔵国府関連遺跡　藤井マンション地区　第213次,むさしこくふかんれんいせき,7,東京都府中市寿町1-2-7,05寿町,139.47818,35.672787,とうきょうとふちゅうし,13206,2,,,,,19830519-19830614,1983,,147.2,147.2,建物新築
47672,90828,武蔵国府関連遺跡　セントラルフィットネスクラブ府中地区　第222次,むさしこくふかんれんいせき,8,東京都府中市八幡町1-9-2,06八幡町,139.485519,35.669594,とうきょうとふちゅうし,13206,2,,,,,19830902-19831228,1983,,702.7,702.7,建物新築
47672,90829,武蔵国府関連遺跡　東菱八幡町マンション地区　第211次,むさしこくふかんれんいせき,9,東京都府中市八幡町2-21-9,06八幡町,139.487885,35.669975,とうきょうとふちゅうし,13206,2,,,,,19830506-19830831,1983,,139.5,139.5,建物新築
47672,90830,武蔵国府関連遺跡　佐々木歯科医院地区　第216次,むさしこくふかんれんいせき,10,東京都府中市美好町3-34-13,09美好町,139.468155,35.66869,とうきょうとふちゅうし,13206,2,,,,,19830620-19830907,1983,,176,176,建物新築
47672,90831,武蔵国府関連遺跡　堀江ビル地区　第223次,むさしこくふかんれんいせき,11,東京都府中市美好町3-5-25,09美好町,139.467926,35.671005,とうきょうとふちゅうし,13206,2,,,,,19830906-19831222,1983,,531.5,531.5,建物新築
47672,90832,武蔵国府関連遺跡　第9三ツ木ビル地区　第235次,むさしこくふかんれんいせき,12,東京都府中市府中町1-15-18,04府中町,139.479568,35.674446,とうきょうとふちゅうし,13206,2,,,,,19840305-19840317,1984,,568.3,568.3,建物新築
47672,90833,武蔵国府関連遺跡　第6三ツ木ビル地区　第205次,むさしこくふかんれんいせき,13,東京都府中市府中町1-15-7,04府中町,139.479568,35.674446,とうきょうとふちゅうし,13206,2,,,,,19830401-19830420,1983,,43.5,43.5,建物新築
47672,90834,武蔵国府関連遺跡　コーポ長谷川地区　第218次,むさしこくふかんれんいせき,14,東京都府中市府中町1-25-11,04府中町,139.479599,35.675179,とうきょうとふちゅうし,13206,2,,,,,19830629-19830804,1983,,127,127,建物新築
47672,90835,武蔵国府関連遺跡　藤井ビル地区　第224次,むさしこくふかんれんいせき,15,東京都府中市府中町1-27-10,04府中町,139.481308,35.67532,とうきょうとふちゅうし,13206,2,,,,,19830914-19831005,1983,,90,90,建物新築
47672,90836,武蔵国府関連遺跡　三星コート地区　第220次,むさしこくふかんれんいせき,16,東京都府中市府中町1-27-2,04府中町,139.481308,35.67532,とうきょうとふちゅうし,13206,2,,,,,19830825-19830924,1983,,103.5,103.5,建物新築
47672,90837,武蔵国府関連遺跡　アーバンハウス地区　第203次,むさしこくふかんれんいせき,17,東京都府中市府中町1-27-4,04府中町,139.481308,35.67532,とうきょうとふちゅうし,13206,2,,,,,19830312-19830421,1983,,77.7,77.7,建物新築
47672,90838,武蔵国府関連遺跡　富士見コーポ地区　第231次,むさしこくふかんれんいせき,18,東京都府中市府中町1-32-5,04府中町,139.47966,35.67662,とうきょうとふちゅうし,13206,2,,,,,19840214-19840303,1984,,130,130,建物新築
47672,90839,武蔵国府関連遺跡　小山博義宅地区　第225次,むさしこくふかんれんいせき,19,東京都府中市府中町1-40-3,04府中町,139.479935,35.677242,とうきょうとふちゅうし,13206,2,,,,,19831101-19831114,1983,,61.3,61.3,建物新築
47672,90840,武蔵国府関連遺跡　SRビル地区　第227次,むさしこくふかんれんいせき,20,東京都府中市府中町1-6-6,04府中町,139.481323,35.672344,とうきょうとふちゅうし,13206,2,,,,,19831115-19831213,1983,,69.6,69.6,建物新築
47672,90841,武蔵国府関連遺跡　府中スカイビル地区　第214次,むさしこくふかんれんいせき,21,東京都府中市府中町1-6-7,04府中町,139.481323,35.672344,とうきょうとふちゅうし,13206,2,,,,,19830610-19830712,1983,,100.5,100.5,建物新築
47672,90842,武蔵国府関連遺跡　高橋ビル地区　第176次他,むさしこくふかんれんいせき,22,東京都府中市府中町1-7-1,04府中町,139.480789,35.672401,とうきょうとふちゅうし,13206,2,,,,,19820712-19830715,1982,,703.4,703.4,建物新築
47672,90843,武蔵国府関連遺跡　パーキング78地区　第206次,むさしこくふかんれんいせき,23,東京都府中市府中町1-8-1ほか,04府中町,139.481155,35.672714,とうきょうとふちゅうし,13206,2,,,,,19830401-19830512,1983,,144.8,144.8,建物新築
47672,90844,武蔵国府関連遺跡　京王府中2丁目ビル地区　第207次,むさしこくふかんれんいせき,24,東京都府中市府中町2-1-14,04府中町,139.482315,35.672905,とうきょうとふちゅうし,13206,2,,,,,19830404-19840214,1983,,745,745,建物新築
47672,90845,武蔵国府関連遺跡　清田五郎宅地区　第229次,むさしこくふかんれんいせき,25,東京都府中市府中町2-10-12,04府中町,139.482101,35.67421,とうきょうとふちゅうし,13206,2,,,,,19831117-19831228,1983,,158.5,158.5,建物新築
47672,90846,武蔵国府関連遺跡　関ビル地区　第209次,むさしこくふかんれんいせき,26,東京都府中市府中町2-21-10,04府中町,139.484131,35.675137,とうきょうとふちゅうし,13206,2,,,,,19830425-19830505,1983,,84.3,84.3,建物新築
47672,90847,武蔵国府関連遺跡　クレスト府中地区　第204次,むさしこくふかんれんいせき,27,東京都府中市府中町3-1-11,04府中町,139.484787,35.674278,とうきょうとふちゅうし,13206,2,,,,,19830322-19830429,1983,,200.7,200.7,建物新築
47672,90848,武蔵国府関連遺跡　住友生命府中荘B地区　第202次,むさしこくふかんれんいせき,28,東京都府中市府中町3-2-9,04府中町,139.485077,35.675011,とうきょうとふちゅうし,13206,2,,,,,19830308-19830413,1983,,262.5,262.5,建物新築
47672,90849,武蔵国府関連遺跡　ムサシマンション地区　第199次,むさしこくふかんれんいせき,29,東京都府中市本町1-1-4,03本町,139.478043,35.668533,とうきょうとふちゅうし,13206,2,,,,,19830207-19830625,1983,,334.5,334.5,建物新築
47672,90850,武蔵国府関連遺跡　ディスカウントショップ　ドン・キホーテ地区　第200次,むさしこくふかんれんいせき,30,東京都府中市緑町2-6-3,07緑町,139.48996,35.670708,とうきょうとふちゅうし,13206,2,,,,,19830214-19830917,1983,,2524.7,2524.7,建物新築
47672,90851,武蔵国府関連遺跡　ロイヤルプラザ東府中地区　第221次,むさしこくふかんれんいせき,31,東京都府中市緑町3-18-14,07緑町,139.494064,35.67186,とうきょうとふちゅうし,13206,2,,,,,19830826-19830827,1983,,101.3,101.3,建物新築
47673,90853,武蔵国府関連遺跡　並木西ビル地区　第1001次,むさしこくふかんれんいせき,2,東京都府中市宮西町1-2-1ほか,02宮西町,139.478958,35.672001,とうきょうとふちゅうし,13206,2,,,,,19980408-19980618,1998,,472.9,472.9,建物新築
47673,90854,武蔵国府関連遺跡　ファス・パティオ地区　第1025次,むさしこくふかんれんいせき,3,東京都府中市宮西町2-11-1,02宮西町,139.476883,35.67065,とうきょうとふちゅうし,13206,2,,,,,19980818-19981015,1998,,107.9,107.9,建物新築
47673,90855,武蔵国府関連遺跡　ヒルズ府中宮西地区　第1033次,むさしこくふかんれんいせき,4,東京都府中市宮西町3-12-1,02宮西町,139.474915,35.67165,とうきょうとふちゅうし,13206,2,,,,,19981201-19990304,1998,,731.7,731.7,建物新築
47673,90856,武蔵国府関連遺跡　奥野信夫宅地区　第1006次,むさしこくふかんれんいせき,5,東京都府中市宮西町3-13-4,02宮西町,139.474335,35.671619,とうきょうとふちゅうし,13206,2,,,,,19980602-19980707,1998,,58,58,建物新築
47673,90857,武蔵国府関連遺跡　Fleste　五十嵐地区　第1012次,むさしこくふかんれんいせき,6,東京都府中市宮西町3-20-3,02宮西町,139.476089,35.671448,とうきょうとふちゅうし,13206,2,,,,,19980620-19980813,1998,,147.1,147.1,建物新築
47673,90858,武蔵国府関連遺跡　ルーエハイム府中地区　第986次,むさしこくふかんれんいせき,7,東京都府中市宮西町5-11-1,02宮西町,139.473984,35.669678,とうきょうとふちゅうし,13206,2,,,,,19971211-19980408,1997,,435.3,435.3,建物新築
47673,90859,武蔵国府関連遺跡　西村信行宅地区　第1019次,むさしこくふかんれんいせき,8,東京都府中市宮西町5-24-26,02宮西町,139.47612,35.669006,とうきょうとふちゅうし,13206,2,,,,,19980722-19980826,1998,,73.5,73.5,建物新築
47673,90860,武蔵国府関連遺跡　竹内謙介宅地区　第1003次,むさしこくふかんれんいせき,9,東京都府中市宮町1-24-9,01宮町,139.481384,35.670326,とうきょうとふちゅうし,13206,2,,,,,19980422-19980610,1998,,52.3,52.3,建物新築
47673,90861,武蔵国府関連遺跡　ライオンズタワー府中地区　第885次,むさしこくふかんれんいせき,10,東京都府中市宮町1-30-8他,01宮町,139.482346,35.671036,とうきょうとふちゅうし,13206,2,,,,,19960220-19990226,1996,,1854.2,1854.2,建物新築
47673,90862,武蔵国府関連遺跡　今井ビル地区　第1031次,むさしこくふかんれんいせき,11,東京都府中市宮町1-4-23,01宮町,139.481918,35.670773,とうきょうとふちゅうし,13206,2,,,,,19981109-19981222,1998,,106.2,106.2,建物新築
47673,90863,武蔵国府関連遺跡　フェイスビル地区　第1026次,むさしこくふかんれんいせき,12,東京都府中市宮町1-9-1,01宮町,139.480789,35.670311,とうきょうとふちゅうし,13206,2,,,,,19980827-19981124,1998,,111.8,111.8,建物新築
47673,90864,武蔵国府関連遺跡　ファミール府中宮町地区　第1007次,むさしこくふかんれんいせき,13,東京都府中市宮町2-1-9,01宮町,139.480026,35.669746,とうきょうとふちゅうし,13206,2,,,,,19980605-19980721,1998,,42.1,42.1,建物新築
47673,90865,武蔵国府関連遺跡　エル・ステージ府中宮町地区　第997次,むさしこくふかんれんいせき,14,東京都府中市宮町2-2-4,01宮町,139.480621,35.669777,とうきょうとふちゅうし,13206,2,,,,,19980223-19980723,1998,,306.2,306.2,建物新築
47673,90866,武蔵国府関連遺跡　中田匡俊宅地区　第1016T次,むさしこくふかんれんいせき,15,東京都府中市宮町3-15,01宮町,139.482071,35.667873,とうきょうとふちゅうし,13206,2,,,,,19980708-19980709,1998,,169.3,169.3,建物新築
47673,90867,武蔵国府関連遺跡　IVY地区　第1024次,むさしこくふかんれんいせき,16,東京都府中市若松町1-5-51,13若松町,139.4975892,35.66844507,とうきょうとふちゅうし,13206,2,,,,,19980807-19981020,1998,,177,177,建物新築
47673,90868,武蔵国府関連遺跡　メゾン・ド・ビーフォー地区　第1029次,むさしこくふかんれんいせき,17,東京都府中市若松町1-6-7,13若松町,139.497253,35.669777,とうきょうとふちゅうし,13206,2,,,,,19980928-19981104,1998,,132.5,132.5,建物新築
47673,90869,武蔵国府関連遺跡　ファミリート府中地区　第1002次,むさしこくふかんれんいせき,18,東京都府中市若松町2-4-4,13若松町,139.498306,35.671413,とうきょうとふちゅうし,13206,2,,,,,19980416-19980704,1998,,728.4,728.4,建物新築
47673,90870,武蔵国府関連遺跡　コリーヌ吉野地区　第1018次,むさしこくふかんれんいせき,19,東京都府中市清水が丘2-5-10,10清水が丘,139.494537,35.666546,とうきょうとふちゅうし,13206,2,,,,,19980717-19980729,1998,,60.1,60.1,建物新築
47673,90871,武蔵国府関連遺跡　吉見屋ビル地区　第1015次,むさしこくふかんれんいせき,20,東京都府中市清水ヶ丘1-4-17,10清水が丘,139.493835,35.66827,とうきょうとふちゅうし,13206,2,,,,,19980701-19980730,1998,,76.7,76.7,建物新築
47673,90872,武蔵国府関連遺跡　本間淳・リサ宅地区　第1036次,むさしこくふかんれんいせき,21,東京都府中市西府町1-38-9,18西府町,139.452377,35.673878,とうきょうとふちゅうし,13206,2,,,,,19981214-19981221,1998,,51.2,51.2,建物新築
47673,90873,武蔵国府関連遺跡　上村清七宅地区　第1032次,むさしこくふかんれんいせき,22,東京都府中市白糸台2-61-1,16白糸台,139.512619,35.665424,とうきょうとふちゅうし,13206,2,,,,,19981120-19981125,1998,,8.7,8.7,建物新築
47673,90874,武蔵国府関連遺跡　イーグルハイツ地区　第1027次,むさしこくふかんれんいせき,23,東京都府中市八幡町1-3-6,06八幡町,139.484329,35.670811,とうきょうとふちゅうし,13206,2,,,,,19980905-19981028,1998,,73.3,73.3,建物新築
47673,90875,武蔵国府関連遺跡　関岡錬宅地区　第1004次,むさしこくふかんれんいせき,24,東京都府中市八幡町3-9-10,06八幡町,139.490768,35.667919,とうきょうとふちゅうし,13206,2,,,,,19980501-19980502,1998,,37,37,建物新築
47673,90876,武蔵国府関連遺跡　福島義雄宅地区　第1028次,むさしこくふかんれんいせき,25,東京都府中市美好町1-11-1,09美好町,139.471436,35.673367,とうきょうとふちゅうし,13206,2,,,,,19980910-19981019,1998,,81.7,81.7,建物新築
47673,90877,武蔵国府関連遺跡　中込辰夫・正信・憲子・重明宅地区　第1042次,むさしこくふかんれんいせき,26,東京都府中市美好町1-12-6,09美好町,139.471466,35.67382,とうきょうとふちゅうし,13206,2,,,,,19990122-19990212,1999,,22.2,22.2,建物新築
47673,90878,武蔵国府関連遺跡　廣瀬一宇宅地区　第1041次,むさしこくふかんれんいせき,27,東京都府中市美好町1-39-4,09美好町,139.46756,35.67186,とうきょうとふちゅうし,13206,2,,,,,19990111-19990212,1999,,106.1,106.1,建物新築
47673,90879,武蔵国府関連遺跡　真藤静子宅地区　第1039次,むさしこくふかんれんいせき,28,東京都府中市美好町2-23-6,09美好町,139.465347,35.674358,とうきょうとふちゅうし,13206,2,,,,,19981216-19990105,1998,,46.8,46.8,建物新築
47673,90880,武蔵国府関連遺跡　マイキャッスル府中美好町地区　第1021次,むさしこくふかんれんいせき,29,東京都府中市美好町2-4-1,09美好町,139.466782,35.672638,とうきょうとふちゅうし,13206,2,,,,,19980727-19980828,1998,,251.1,251.1,建物新築
47673,90881,武蔵国府関連遺跡　初茂樹宅地区　第1030次,むさしこくふかんれんいせき,30,東京都府中市美好町2-7-12,09美好町,139.466141,35.672405,とうきょうとふちゅうし,13206,2,,,,,19981029-19981118,1998,,132.5,132.5,建物新築
47673,90882,武蔵国府関連遺跡　佐藤節二宅地区　第1008次,むさしこくふかんれんいせき,31,東京都府中市府中町1-14-7,04府中町,139.479523,35.673698,とうきょうとふちゅうし,13206,2,,,,,19980609-19980709,1998,,71.3,71.3,建物新築
47673,90883,武蔵国府関連遺跡　ロイヤルパレスM地区　第1034次,むさしこくふかんれんいせき,32,東京都府中市府中町2-1-8,04府中町,139.482315,35.672905,とうきょうとふちゅうし,13206,2,,,,,19981203-19990126,1998,,64.8,64.8,建物新築
47673,90884,武蔵国府関連遺跡　フルーリー府中地区　第1009次,むさしこくふかんれんいせき,33,東京都府中市府中町2-5-1,04府中町,139.483368,35.671833,とうきょうとふちゅうし,13206,2,,,,,19980612-19980901,1998,,401.4,401.4,建物新築
47673,90889,武蔵国府関連遺跡　小沢浩宅地区　第1022次,むさしこくふかんれんいせき,38,東京都府中市分梅町1-34-12,12分梅町,139.467804,35.667488,とうきょうとふちゅうし,13206,2,,,,,19980729-19980822,1998,,82,82,建物新築
47673,90890,武蔵国府関連遺跡　ヴァンヴェール府中地区　第996次,むさしこくふかんれんいせき,39,東京都府中市片町1-3,08片町,139.472153,35.672089,とうきょうとふちゅうし,13206,2,,,,,19980213-19980417,1998,,484.5,484.5,建物新築
47673,90891,武蔵国府関連遺跡　関口雅子地区　第1013次,むさしこくふかんれんいせき,40,東京都府中市片町1-9-14,08片町,139.472519,35.671558,とうきょうとふちゅうし,13206,2,,,,,19980626-19980722,1998,,86,86,建物新築
47673,90892,武蔵国府関連遺跡　仮称　府中片町マンション地区　第994次,むさしこくふかんれんいせき,41,東京都府中市片町2-1-3,08片町,139.47348,35.670254,とうきょうとふちゅうし,13206,2,,,,,19980204-19980514,1998,,430.1,430.1,建物新築
47673,90893,武蔵国府関連遺跡　中村宣彦宅地区　第1040次,むさしこくふかんれんいせき,42,東京都府中市本宿町4-18-13,17本宿町,139.46048,35.678505,とうきょうとふちゅうし,13206,2,,,,,19981222-19981224,1998,,97.1,97.1,建物新築
