総覧ID,総覧抄録ID,種別,時代,主な遺構,住居,掘立,井戸,道路,主な遺物,特記事項,遺跡名,遺跡名かな,本内順位,遺跡所在地,lon,lat,所在地ふりがな,市町村コード,遺跡番号,北緯（日本測地系）,東経（日本測地系）,北緯（世界測地系）,東経（世界測地系）,調査期間,調査面積,調査面積2,調査原因
47685,90972,集落|官衙,奈良|平安,土坑3,,,,,,時代 : 奈良から平安,武蔵国府関連遺跡　こん　あもーれ地区　第298次,むさしこくふかんれんいせき,47,東京都府中市府中町3-2-1,139.485077,35.675011,とうきょうとふちゅうし,13206,2,,,,,19860307-19860506,155.6,155.6,建物新築等
47687,90975,集落|官衙,奈良|平安,道路1|土坑2,,,,1,土器,時代 : 奈良から平安,武蔵国府関連遺跡　さくらパーキング1地区　第877次,むさしこくふかんれんいせき,42,東京都府中市府中町2-3-1,139.482437,35.672024,とうきょうとふちゅうしふちゅうちょう,13206,2,,,354008,1392907,19960116-19960325,379.7,379.7,駐車場
47694,90978,集落|官衙,奈良|平安,竪穴建物2|土壙墓1|土坑2,2,,,,瓦|鞴羽口|刀子,時代 : 奈良から平安,武蔵国府関連遺跡　さくら三番館タワーパーキング地区　第678次,むさしこくふかんれんいせき　さくらさんばんかんたわーぱーきんぐ,3,東京都府中市宮西町2-4-4,139.478546,35.670185,とうきょうとふちゅうしみやにしちょう,13206,2,,,354011,1392842,19920515-19920603,276.2,276.2,駐車場建設
47678,90979,集落|官衙,奈良|平安,竪穴建物1,1,,,,土師器|鉄製品（刀子）,時代 : 奈良から平安,武蔵国府関連遺跡　さくら食品館駐車場地区　第254次,むさしこくふかんれんいせき,13,東京都府中市府中町1-8-11,139.481155,35.672714,とうきょうとふちゅうし,13206,2,,,,,19841108-19841226,132.4,132.4,建物新築
47695,90980,集落|官衙,奈良|平安,柵1,,,,,,時代 : 奈良から平安,武蔵国府関連遺跡　サランビル地区　第764次,むさしこくふかんれんいせき　さらんびる,4,東京都府中市宮西町2-7-25,139.477676,35.670544,とうきょうとふちゅうしみやにしちょう,13206,2,,,354012,1392840,19931119-19940217,204.6,204.6,集合住宅建設
47694,90983,集落|官衙,奈良|平安,柵1|道路2|土坑4|溝6,,,,1,土師器|須恵器|土師質土器|灰釉陶器|瓦|動物遺存体（ウマ（歯））,時代 : 奈良から平安,武蔵国府関連遺跡　サングレース東府中地区　第706次,むさしこくふかんれんいせき　さんぐれーすひがしふちゅう,11,東京都府中市若松町1-7-6,139.497772,35.669617,とうきょうとふちゅうしわかまつちょう,13206,2,,,354008,1392954,19921022-19921212,277.8,277.8,集合住宅建設
47685,90984,墓,奈良,墳墓1,,,,,土師器（甕）,,武蔵国府関連遺跡　サンケンパレス府中宮西PART5地区　第317次,むさしこくふかんれんいせき,7,東京都府中市宮西町3-15-6,139.473907,35.67144,とうきょうとふちゅうし,13206,2,,,,,19860526-19860531,60.3,60.3,建物新築等
47685,90985,集落|官衙,奈良|平安,土坑4,,,,,,時代 : 奈良から平安,武蔵国府関連遺跡　サンケンパレス府中宮西PARTIII地区　第338次,むさしこくふかんれんいせき,6,東京都府中市宮西町3-15-5,139.473907,35.67144,とうきょうとふちゅうし,13206,2,,,,,19860920-19861024,52.2,52.2,建物新築等
47685,90986,集落|官衙,奈良|平安,溝1|道路1,,,,1,土師器|須恵器,時代 : 奈良から平安,武蔵国府関連遺跡　サンケンパレス府中宮西PARTII地区　第306次,むさしこくふかんれんいせき,9,東京都府中市宮西町3-5-7,139.473969,35.671986,とうきょうとふちゅうし,13206,2,,,,,19860409-19860605,138.6,138.6,建物新築等
47685,90987,集落|官衙,奈良|平安,竪穴建物22|掘立柱建物|柵4|道路1|土坑3,22,1,,1,須恵器|土師器,時代 : 奈良から平安,武蔵国府関連遺跡　サンケンパレス府中八幡PART・地区　第318次,むさしこくふかんれんいせき,23,東京都府中市八幡町2-1-6/28,139.486389,35.670704,とうきょうとふちゅうし,13206,2,,,,,19860527-19861201,144.8,144.8,建物新築等
